frame,time (sec)
0,0
1,60
2,120
3,450
4,540
5,630
6,690
7,750
8,810
9,870
10,930
11,990
12,1050
13,1110
14,1170
15,1230
16,1290
17,1350
18,1410
19,1470
20,1530
21,1590
22,1650
23,1710
24,1770
25,1830
26,1890
27,2400
28,2640
29,2700
30,2790
31,2880
32,2970
33,3060
34,3150
35,3240
36,3330
37,3420
38,3510
39,3600
40,3690
41,3780
42,3870
43,3960
