,Unnamed: 0,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
0,0,53,0,221,15,20,1.0231740474700928,0.0435790419578552,10,1.0234368773966862,0.04418567924475604
1,1,58,50,220,15,20,1.0437920093536377,0.0347325839102268,10,1.0424775310374723,0.03446239649646862
2,2,59,50,220,15,20,1.059025764465332,0.0365379527211189,10,1.0567243028335334,0.03652456974196415
3,3,59,50,224,15,20,1.0617482662200928,0.0214834287762641,10,1.061636673891343,0.022791894889680368
4,4,60,50,227,15,20,1.0724986791610718,0.0356286652386188,10,1.0707378374505208,0.035762967671427705
5,5,63,50,229,15,20,1.075143337249756,0.0241292584687471,10,1.0717456654231636,0.02289909870163257
6,6,65,50,230,15,20,1.0758355855941772,0.0277958065271377,10,1.0725664188152217,0.029848728829544428
7,7,70,50,247,15,20,1.07717764377594,0.0281718764454126,10,1.0752025606007578,0.02999756851753736
8,8,67,50,248,15,20,1.0770989656448364,0.0327166765928268,10,1.0748088328923586,0.03526686025400197
9,9,69,50,249,15,20,1.0814529657363892,0.0309187117964029,10,1.077955892990282,0.03282833577066132
10,10,71,50,249,15,20,1.0831574201583862,0.0308328028768301,10,1.0813095211145403,0.034874398589197664
11,11,68,50,249,15,20,1.0907679796218872,0.0407004170119762,10,1.087263185592177,0.042201941076902276
12,12,69,50,249,15,20,1.1009150743484497,0.0396122112870216,10,1.096330076735044,0.038499840479076175
13,13,65,50,156,15,20,1.0958737134933472,0.050396766513586,10,1.0921715790434516,0.05281656594696633
14,14,66,50,157,15,20,1.1012307405471802,0.0430990420281887,10,1.0987914278431667,0.04568357720104513
15,15,69,50,159,15,20,1.1006295680999756,0.0529811270534992,10,1.0929890549318584,0.052740582886349696
16,16,70,50,159,15,20,1.1008968353271484,0.0465513914823532,10,1.096157131991253,0.04739124366949046
17,17,70,50,160,15,20,1.1082055568695068,0.0480012074112892,10,1.1026650170370478,0.051070938658810926
18,18,72,50,161,15,20,1.1101534366607666,0.0484859943389892,10,1.1051442842146,0.05053357269349677
19,19,84,50,166,15,20,1.1027812957763672,0.0440986789762973,10,1.0977070912891176,0.0464090882189185
20,20,101,50,111,15,20,1.114777684211731,0.0459668822586536,10,1.106223623765148,0.04894763702009945
21,21,110,50,101,15,20,1.1205343008041382,0.0512996166944503,10,1.1148417425530832,0.055865388226524454
22,22,124,50,98,15,20,1.1255558729171753,0.0497218444943428,10,1.1185958826587536,0.05615108669542693
23,23,140,50,107,15,20,1.1271586418151855,0.0505513213574886,10,1.1170238552159746,0.05179794392272287
24,24,174,50,120,15,20,1.1364386081695557,0.0522712096571922,10,1.1304882425302931,0.059304041421098255
25,25,181,50,136,15,20,1.1354025602340698,0.0538719519972801,10,1.129705158111314,0.06001874629108337
26,26,199,50,175,15,20,1.1321302652359009,0.0523383282124996,10,1.1260385754271516,0.05741096088505601
27,27,192,50,169,15,20,1.142219066619873,0.0544258169829845,10,1.1317605414041518,0.05903120603497829
28,28,52,50,160,15,20,1.1796268224716189,0.0569832883775234,10,1.1724146321591589,0.06504083163397997
29,29,45,50,164,15,20,1.1825573444366455,0.0571297593414783,10,1.1744132042479216,0.0622220567625293
30,30,47,50,165,15,20,1.1816651821136477,0.0533961467444896,10,1.1720642938157477,0.05957546780429367
31,31,48,50,165,15,20,1.1899473667144775,0.0576467737555503,10,1.181675534762765,0.06605799963954517
32,32,48,50,165,15,20,1.1871165037155151,0.0565252974629402,10,1.1765399439504316,0.059295446784926445
33,33,43,50,166,15,20,1.1895262002944946,0.0592710599303245,10,1.181164122851049,0.06488858119408003
34,34,46,50,167,15,20,1.188647985458374,0.057414349168539,10,1.1801917231100882,0.06194279962995504
35,35,47,50,167,15,20,1.179453730583191,0.0595732703804969,10,1.1689006210916162,0.06524978198212937
36,36,48,50,168,15,20,1.1896827220916748,0.060176495462656,10,1.1779724022721256,0.06716819172857036
