frame,time (sec),min
0,210,3.5
1,240,4
2,285,4.75
3,330,5.5
4,375,6.25
5,420,7
6,465,7.75
7,510,8.5
8,555,9.25
9,600,10
10,645,10.75
11,735,12.25
12,780,13
13,825,13.75
14,870,14.5
15,1500,25
16,960,16
17,1005,16.75
18,1050,17.5
19,1170,19.5
20,1230,20.5
21,1290,21.5
22,1350,22.5
23,1410,23.5
24,1470,24.5
25,1530,25.5
26,1590,26.5
27,1650,27.5
28,1710,28.5
29,1770,29.5
30,1830,30.5
31,1890,31.5
32,1950,32.5
33,2010,33.5
34,2070,34.5
35,2130,35.5
36,2190,36.5
