,Unnamed: 0,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
0,0,27,0,90,20,20,0.044298306107521,0.0277055744081735,10,0.012829916595139117,0.04538168941483111
1,1,28,50,93,20,20,0.0433274284005165,0.0243918895721435,10,0.03378290632410428,0.031350601834329535
2,2,30,50,98,20,20,0.0497917421162128,0.0212399717420339,10,0.04833210727206569,0.023612500556065532
3,3,30,50,102,20,20,0.0520474724471569,0.0226594395935535,10,0.050122642796498036,0.0244184807855892
4,4,30,50,102,20,20,0.0623434484004974,0.0226552225649356,10,0.06227842512449835,0.024123995985118482
5,5,32,50,105,20,20,0.0635978654026985,0.0245233159512281,10,0.06172883742671742,0.026828725336984126
6,6,32,50,105,20,20,0.0661006718873977,0.026866840198636,10,0.06409869075106185,0.028779345490180644
7,7,33,50,106,20,20,0.0705373808741569,0.0219961870461702,10,0.06990573450212613,0.023867514716003173
8,8,34,50,108,20,20,0.0705624744296073,0.0213519930839538,10,0.06956258871065733,0.023041336229968176
9,9,34,50,113,20,20,0.0693143606185913,0.0215086545795202,10,0.06836909725889871,0.023096966356085002
10,10,35,50,111,20,20,0.0731105953454971,0.0237390305846929,10,0.07174188268102086,0.02576289421414336
11,11,36,50,111,20,20,0.0760095864534378,0.0244872123003005,10,0.0753519011190425,0.025604035241069797
12,12,37,50,111,20,20,0.07581427693367,0.0218956768512725,10,0.07520212256067735,0.022875695416477573
13,13,39,50,113,20,20,0.0779274702072143,0.0228710193186998,10,0.07715307962849126,0.024061732919915514
14,14,40,50,135,20,20,0.0704497322440147,0.023253871127963,10,0.07080787025450336,0.025218041416765938
15,15,41,50,135,20,20,0.0774481371045112,0.02303222194314,10,0.07665020009499242,0.02512934047063506
16,16,43,50,136,20,20,0.0770732536911964,0.0222324207425117,10,0.0751252739935011,0.02378822669130697
17,17,49,50,135,20,20,0.0780774280428886,0.0262788273394107,10,0.07679884542480878,0.027938152408052516
18,18,54,50,134,20,20,0.0760813206434249,0.0266772583127021,10,0.07466115119940608,0.028814966633533914
19,19,62,50,133,20,20,0.0756954774260521,0.0249231662601232,10,0.0748176071084962,0.026921146326386796
20,20,42,50,445,20,20,0.0657417029142379,0.0267421212047338,10,0.06410458633433996,0.02878380856915066
21,21,43,50,446,20,20,0.0677273571491241,0.0212672781199216,10,0.06735793831108447,0.023010807820425132
22,22,44,50,448,20,20,0.0700013786554336,0.0236237104982137,10,0.06919899097046957,0.02577716505494878
23,23,49,50,448,20,20,0.0698328018188476,0.0189948249608278,10,0.06958833084178749,0.020846224391474447
24,24,52,50,447,20,20,0.0685056746006012,0.0214105062186718,10,0.06802352826966264,0.023580366928615558
25,25,56,50,442,20,20,0.0728423297405242,0.0213667787611484,10,0.07255411257187064,0.023484980045741708
26,26,64,50,439,20,20,0.0661601722240448,0.0232968889176845,10,0.06510165198151091,0.02515334021900995
27,27,124,50,233,20,20,0.0708131790161132,0.0184996668249368,10,0.07042187893746447,0.020940972425909414
28,28,28,50,35,20,20,0.115619920194149,0.0242415368556976,10,0.11447762432935105,0.026203370910154778
29,29,29,50,41,20,20,0.1113540977239608,0.0271758139133453,10,0.11072829083133255,0.028323891997681455
30,30,29,50,43,20,20,0.1083809211850166,0.0275541990995407,10,0.10772168021223219,0.0285744588672745
31,31,31,50,43,20,20,0.1078306809067726,0.0243862904608249,10,0.10698878176848511,0.025931307514404055
32,32,27,50,51,20,20,0.1037313938140869,0.0318299606442451,10,0.10285583471724788,0.03342968056038557
33,33,29,50,53,20,20,0.1063931882381439,0.0188122279942035,10,0.10630860556136311,0.02097780571340437
34,34,29,50,53,20,20,0.1024087890982627,0.0269291494041681,10,0.10093851821300344,0.028423285337145752
35,35,29,50,55,20,20,0.0985021665692329,0.0191408470273017,10,0.09821570135065151,0.021316555211013517
36,36,30,50,58,20,20,0.0963653698563575,0.0303644705563783,10,0.09555528481510751,0.031078487846379885
37,37,28,50,63,20,20,0.0966563522815704,0.0301088150590658,10,0.0954674066754217,0.03191502254894516
38,38,27,50,64,20,20,0.1018825098872184,0.0216591693460941,10,0.10143715414239982,0.023034446518339212
39,39,28,50,65,20,20,0.0946590825915336,0.0267326869070529,10,0.09354963258024332,0.02791682491981144
40,40,29,50,65,20,20,0.0942924842238426,0.033220175653696,10,0.09250235375739987,0.034406711745465245
41,41,29,50,65,20,20,0.0959899425506591,0.0259059239178895,10,0.09512823476131553,0.02719070884595851
42,42,30,50,65,20,20,0.0913683474063873,0.0264748577028512,10,0.09089605002610644,0.027843801191887355
43,43,30,50,65,20,20,0.0941620618104934,0.0216784011572599,10,0.09362523583495204,0.023636630026393584
44,44,30,50,65,20,20,0.0930424630641937,0.0268248617649078,10,0.09224452346933842,0.027926739629759802
45,45,25,50,65,20,20,0.0973177924752235,0.0190097074955701,10,0.09711271657788108,0.02117505077275949
46,46,26,50,64,20,20,0.0967641696333885,0.0197010282427072,10,0.09646403246212831,0.02146499662894767
47,47,27,50,65,20,20,0.1019900068640708,0.0273792240768671,10,0.10123676752356588,0.028837670131150354
48,48,21,50,60,20,20,0.1032773554325103,0.0195840634405612,10,0.10285042110451927,0.02136716392137615
49,49,21,50,61,20,20,0.0998484566807746,0.0175586268305778,10,0.09918490153111222,0.020153703643486568
50,50,23,50,58,20,20,0.0953133404254913,0.0184599440544843,10,0.09497102910505612,0.02050660576579667
51,51,23,50,58,20,20,0.1005399376153945,0.0165837407112121,10,0.10034177824913669,0.018935191787342296
52,52,23,50,58,20,20,0.099550150334835,0.0171429105103015,10,0.09916735889127733,0.019852201904881787
53,53,23,50,58,20,20,0.1000772267580032,0.016973664984107,10,0.10009129786711682,0.018836020751510175
54,54,23,50,58,20,20,0.100084476172924,0.0161745063960552,10,0.09995151973647888,0.018116367801875505
55,55,23,50,58,20,20,0.0999847203493118,0.0172205101698637,10,0.0996651334493815,0.019281099880913078
56,56,23,50,58,20,20,0.1034373342990875,0.0171811506152153,10,0.10294671314729922,0.019440893427121936
57,57,23,50,58,20,20,0.0980285182595253,0.01760820671916,10,0.09800592970162475,0.019549768384240506
58,58,23,50,58,20,20,0.0972786769270896,0.0183054711669683,10,0.09686985384465913,0.02049972525404151
59,59,23,50,58,20,20,0.0996463000774383,0.0183836780488491,10,0.0993526401588072,0.020724811431691397
60,60,23,50,58,20,20,0.0981750637292862,0.0212378520518541,10,0.09712212027250489,0.02317814802069702
61,61,23,50,68,20,20,0.0968049019575119,0.0226186979562044,10,0.09586213006081652,0.024840533713870194
62,62,23,50,58,20,20,0.0949019193649292,0.0229081604629755,10,0.09405939225450721,0.024722873221672513
63,63,23,50,58,20,20,0.0985707193613052,0.0219221003353595,10,0.09832462255904387,0.024271619290691524
64,64,23,50,58,20,20,0.0986740887165069,0.0223600175231695,10,0.0988048666628728,0.02368367263253591
65,65,23,50,58,20,20,0.0953585058450698,0.0204746704548597,10,0.09384148922526783,0.02252405431405459
66,66,23,50,58,20,20,0.0983032807707786,0.0215634554624557,10,0.09754580016649059,0.02361100482009593
67,67,23,50,58,20,20,0.100474901497364,0.0243073105812072,10,0.0998937456009331,0.025569899428450987
68,68,23,50,58,20,20,0.0969705805182457,0.0213695205748081,10,0.09591854089078915,0.023130916134628966
69,69,24,50,61,20,20,0.0984127223491668,0.0207923222333192,10,0.09748876801763968,0.022802299449154323
70,70,24,50,61,20,20,0.0991038158535957,0.0178037285804748,10,0.0990917369337624,0.02004163400658603
71,71,24,50,61,20,20,0.098155677318573,0.0198926422744989,10,0.09729749076760331,0.02196702891573331
72,72,24,50,61,20,20,0.1016085743904113,0.0181557517498731,10,0.10157777057084721,0.020201344011861862
