,Unnamed: 0,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
0,0,20,0,149,15,20,0.0359358713030815,0.0023885073605924,10,0.03570963316138713,0.002296555654439883
1,1,23,50,151,15,20,0.0418461449444294,0.0054168556816875,10,0.04138008647584023,0.005425043529942072
2,2,25,50,153,15,20,0.0431259498000144,0.0057418067008256,10,0.0428968768733701,0.006032301159217911
3,3,25,50,154,15,20,0.0447981283068656,0.0051975403912365,10,0.04477477573547951,0.005461998117515049
4,4,24,50,155,15,20,0.0444156378507614,0.0050971833989024,10,0.04419681588523449,0.005089395754215571
5,5,24,50,155,15,20,0.0440684407949447,0.0050284378230571,10,0.043713408078287226,0.0051099065144275075
6,6,26,50,157,15,20,0.0420248284935951,0.004754614084959,10,0.0415974777793715,0.004862036447786197
7,7,23,50,161,15,20,0.044763833284378,0.0049139964394271,10,0.044303552411933414,0.0047630686315203175
8,8,25,50,163,15,20,0.0442126467823982,0.0046087908558547,10,0.043935098025913624,0.004355597050516303
9,9,26,50,163,15,20,0.0443800762295722,0.0043967920355498,10,0.04416079726207986,0.004270522368768359
10,10,26,50,173,15,20,0.0393391400575637,0.0031917286105453,10,0.03905856615825096,0.002999511515273965
11,11,26,50,174,15,20,0.0396384485065937,0.0035154176875948,10,0.03939245465161253,0.0035574256981547358
12,12,27,50,175,15,20,0.0383796133100986,0.0031050196848809,10,0.03782722149161651,0.00289099916265336
13,13,27,50,193,15,20,0.0383085086941719,0.0028757972177118,10,0.03781602919854783,0.002721468669315308
14,14,22,50,207,15,20,0.0058543705381453,0.0023196919355541,10,0.0055851156048139635,0.0022983635351506667
15,15,25,50,209,15,20,0.0368799343705177,0.0020151487551629,10,0.03669298870294154,0.0021424712624969157
16,16,32,50,379,15,20,0.0366107523441314,0.0019308278569951,10,0.0363487892863522,0.0019033555379893892
17,17,33,50,378,15,20,0.0350680835545063,0.0012934544356539,10,0.03490395927829087,0.0012856451244358483
18,18,33,50,379,15,20,0.0353109091520309,0.0015496815321967,10,0.0350805645541239,0.0015368598894527287
19,19,31,50,378,15,20,0.0355333425104618,0.0016339456196874,10,0.035198532974318145,0.0015678686478262916
20,20,27,50,351,15,20,0.0350360870361328,0.0013053440488874,10,0.03486182188928215,0.001286039750978885
21,21,25,50,350,15,20,0.0348428413271904,0.0012821712298318,10,0.03466356220218862,0.0012584438015269732
22,22,29,50,344,15,20,0.0355098508298397,0.0015680829528719,10,0.03534574432238375,0.0016093860277967716
23,23,30,50,343,15,20,0.034866414964199,0.0013230490731075,10,0.034656422888715864,0.001199307009561586
24,24,31,50,309,15,20,0.0347160100936889,0.0011592776281759,10,0.03452175401481238,0.0010868138146203049
25,25,33,50,107,15,20,0.0346383787691593,0.0014496013754978,10,0.034316361223725056,0.0013072441623924597
26,26,30,50,77,15,20,0.0344176329672336,0.0011166862677782,10,0.034246488755487914,0.0012001161876125134
27,27,30,50,121,15,20,0.0352769903838634,0.0013105574762448,10,0.035156468636017985,0.00139546018759297
28,28,35,50,126,15,20,0.0348442085087299,0.0013239767868071,10,0.034624727983028625,0.0013839087552755252
29,29,37,50,130,15,20,0.0343982949852943,0.0011484345886856,10,0.034251585042899414,0.0012255373583121292
30,30,37,50,157,15,20,0.0349896848201751,0.0013547979760915,10,0.03483443379635608,0.0014621425566816266
31,31,38,50,175,15,20,0.0349207036197185,0.0013762649614363,10,0.03479889448173933,0.00148737358174674
32,32,43,50,137,15,20,0.0345426760613918,0.0011568114859983,10,0.03438308049055771,0.0011724768259215662
33,33,43,50,137,15,20,0.0366898849606514,0.0019614216871559,10,0.03652479588046257,0.0017672398842707875
34,34,43,50,136,15,20,0.0366723053157329,0.0018733062315732,10,0.03659483348974034,0.0019568949202163205
