frame,time (sec)
0,45
1,90
2,135
3,180
4,225
5,270
6,315
7,360
8,405
9,450
10,495
11,540
12,585
13,630
14,675
15,720
16,765
17,810
18,855
19,900
20,945
21,990
22,1035
23,1080
24,1125
25,1170
26,1215
27,1260
28,1305
29,1350
30,1395
31,1440
32,1485
33,1530
34,1575
35,1620
36,1665
37,1710
38,1755
