frame,time (sec)
0,0
1,90
2,180
3,270
4,360
5,450
6,540
7,630
8,720
9,810
10,900
11,990
12,1080
13,1170
14,1260
15,1350
16,1440
17,1530
18,1620
19,1710
20,1800
21,1890
22,1980
23,2070
24,2160
25,2250
26,2340
27,2430
28,2520
29,2610
30,2700
31,2790
32,2880
33,2970
34,3060
35,3150
36,3240
37,3330
38,3420
39,3510
40,3600
41,3690
42,3780
43,3870
44,3960
45,4050
46,4140
47,4230
48,4320
49,4410
50,4500
51,4590
52,4680
53,4770
54,4860
55,4950
56,5040
57,5130
58,5220
59,5310
60,5400
61,5490
62,5580
63,5670
64,5760
65,5850
66,5940
67,6030
68,6120
69,6210
70,6300
71,6390
72,6480
73,6570
74,6660
75,6750
76,6840
77,6930
78,7020
79,7110
80,7200
81,7290
82,7380
83,7470
84,7560
85,7650
86,7740
87,7830
88,7920
89,8010
90,8100
91,8190
92,8280
93,8370
94,8460
95,8550
96,8640
97,8730
98,8820
99,8910
100,9000
101,9090
102,9180
103,9270
104,9360
105,9450
106,9540
107,9630
108,9720
109,9810
110,9900
111,9990
112,10080
113,10170
114,10260
115,10350
116,10440
117,10530
118,10620
119,10710
120,10800
121,10890
122,10980
123,11070
124,11160
125,11250
126,11340
127,11430
128,11520
129,11610
130,11700
131,11790
132,11880
133,11970
134,12060
135,12150
136,12240
137,12330
138,12420
139,12510
140,12600
141,12690
142,12780
143,12870
144,12960
145,13050
146,13140
147,13230
148,13320
149,13410
150,13500
151,13590
152,13680
153,13770
154,13860
155,13950
156,14040
157,14130
158,14220
159,14310
160,14400
