,Unnamed: 0,frame,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
57,57,57,52,50,108,18,20,1.0055185556411743,0.0300059560686349,10,1.00157917083127,0.031091913475951433
58,58,58,54,50,108,18,20,1.004784107208252,0.0292274057865142,10,1.0016035676403414,0.030889219367316225
59,59,59,54,50,108,18,20,1.0036616325378418,0.0291213039308786,10,1.0013275966906667,0.030486134693552117
60,60,60,54,50,108,18,20,1.0031683444976809,0.0287900287657976,10,1.0011736474017303,0.030075392497911368
61,61,61,54,50,108,18,20,1.004604697227478,0.0286954436451196,10,1.0024621290638533,0.029929913856553997
62,62,62,58,50,134,18,20,1.002819538116455,0.0289794858545064,10,1.0004474224470452,0.03013356782677851
63,63,63,58,50,133,18,20,1.0032761096954346,0.0297476071864366,10,1.000731210968164,0.030506660864927072
64,64,64,58,50,133,18,20,1.004287838935852,0.0297671817243099,10,1.0010578480149057,0.031296479034188585
65,65,65,58,50,133,18,20,1.003815770149231,0.0289183482527732,10,1.000591131192872,0.02989424270019938
66,66,66,58,50,135,18,20,1.003891944885254,0.0296205319464206,10,1.0015052728681462,0.030743853366870005
67,67,67,58,50,135,18,20,1.0037777423858645,0.0297581106424331,10,1.0004764289263046,0.031022096054945127
68,68,68,58,50,135,18,20,1.0047612190246582,0.0297944005578756,10,1.0021192727357686,0.03148759676887513
69,69,69,59,50,135,18,20,1.0039258003234863,0.0298470687121152,10,1.0013330018489233,0.030683060637659493
70,70,70,60,50,135,18,20,1.004623532295227,0.0300343763083219,10,1.0019473475275362,0.03186801972649797
71,71,71,60,50,135,18,20,1.003707766532898,0.0294560212641954,10,1.0015680427556384,0.030397454298076335
72,72,72,60,50,135,18,20,1.003472924232483,0.0290490388870239,10,1.0004286445473176,0.030488977285208208
73,73,73,63,50,135,18,20,1.00355863571167,0.0295643806457519,10,1.0004699739857092,0.029646996961578014
74,74,74,64,50,135,18,20,1.0023739337921145,0.0291117969900369,10,1.0001783224971657,0.030210023272457556
75,75,75,66,50,135,18,20,1.002617597579956,0.0292368121445179,10,0.9997054260864624,0.029447327433002046
76,76,76,66,50,134,18,20,1.0031688213348389,0.0297818705439567,10,1.002183831946557,0.03150507526044766
77,77,77,69,50,130,18,20,1.0018310546875,0.0292539950460195,10,0.9998375354850029,0.029771066308958722
78,78,78,69,50,130,18,20,1.0021318197250366,0.0290010087192058,10,0.9999761479065055,0.030317742510912037
79,79,79,69,50,130,18,20,1.0024629831314087,0.0295091718435287,10,0.9992906449153114,0.02934607916416686
80,80,80,65,50,171,18,20,1.0010788440704346,0.0289185885339975,10,0.9992178173721384,0.03002183441544828
81,81,81,65,50,169,18,20,1.000760793685913,0.0285219550132751,10,0.9993449113263415,0.030087973305706357
82,82,82,66,50,169,18,20,1.000314474105835,0.0289705507457256,10,0.9980441151771444,0.03039145414142186
83,83,83,66,50,169,18,20,1.0024899244308472,0.028873847797513,10,1.0000375699187118,0.030248500480932184
84,84,84,66,50,169,18,20,1.0015027523040771,0.0290488246828317,10,0.9996523994092672,0.031403731352543686
85,85,85,67,50,166,18,20,1.001969575881958,0.0291809365153312,10,0.9996290060955512,0.031141997774414735
86,86,86,68,50,166,18,20,1.0004702806472778,0.0295860096812248,10,0.9983309935290868,0.031551756492056986
87,87,87,75,50,461,18,20,1.0015496015548706,0.0285691078752279,10,0.9991852093924093,0.029879453622949224
88,88,88,75,50,461,18,20,1.002953290939331,0.0289554167538881,10,0.9999438528337423,0.027949057432935284
89,89,89,75,50,487,18,20,1.0035313367843628,0.0306230727583169,10,1.0017444962723034,0.031664915062436995
90,90,90,75,50,486,18,20,1.0037087202072144,0.0293037295341491,10,1.0011676959165319,0.029451000489741967
91,91,91,76,50,484,18,20,1.0035213232040403,0.02957877330482,10,1.001060042826937,0.02955395996724889
92,92,92,77,50,482,18,20,1.0027453899383545,0.0281400773674249,10,1.0005793385912127,0.02783331091609035
93,93,93,74,50,451,18,20,1.0045374631881714,0.0293110739439725,10,1.0020698061610085,0.030422510586120607
94,94,94,76,50,169,18,20,1.0015997886657717,0.0304923504590988,10,0.9980317100876505,0.03200243942899414
95,95,95,74,50,168,18,20,1.0020616054534912,0.029178561642766,10,0.9993283560869146,0.030509735025212148
96,96,96,72,50,168,18,20,1.0024094581604004,0.0293926410377025,10,0.9996338493894737,0.030351146333927322
97,97,97,72,50,168,18,20,1.00259530544281,0.0294878184795379,10,0.9994604791381111,0.030126285093147426
98,98,98,72,50,168,18,20,1.0035133361816406,0.0291727110743522,10,0.9991648992352385,0.030165732627318226
99,99,99,73,50,165,18,20,1.0038220882415771,0.0290775503963232,10,0.9996616390149811,0.02974508014943178
100,100,100,74,50,167,18,20,1.003578782081604,0.0302403159439563,10,0.9992931524444623,0.0313017746156289
101,101,101,74,40,164,18,20,1.002988338470459,0.0285647381097078,10,0.9993251366353756,0.0299191452150552
102,102,102,74,50,164,18,20,1.0038964748382568,0.0292587745934724,10,1.001763548848348,0.030717623069514186
103,103,103,74,50,164,18,20,1.005288004875183,0.0300623755902051,10,1.0015548203544573,0.031116773817340605
104,104,104,75,30,162,18,20,1.007192611694336,0.0307535529136657,10,1.0032033824741065,0.031674585403201436
105,105,105,74,50,166,18,20,1.0053796768188477,0.0304932799190282,10,1.001870013031312,0.031787690687063754
106,106,106,74,40,166,18,20,1.004990816116333,0.0298137255012989,10,1.0005749541122784,0.03073165053711834
107,107,107,76,50,164,18,20,1.0062183141708374,0.0306180529296398,10,1.0024684694264256,0.03042638085411768
108,108,108,76,50,165,18,20,1.007203221321106,0.030260007828474,10,1.0039681702821626,0.03271819604417275
109,109,109,71,10,1,18,20,1.0266810655593872,0.0324108079075813,10,1.0231802405850714,0.026164267788390386
110,110,110,68,10,170,18,20,1.0298199653625488,0.0328725390136241,10,1.0316855164921563,0.029086084428911935
111,111,111,66,10,428,18,20,1.018055081367493,0.0314503721892833,10,1.0105745884155373,0.030094194600990273
112,112,112,74,50,417,18,20,1.0148050785064695,0.0309384446591138,10,1.0073269114658143,0.02849060869684865
113,113,113,74,50,417,18,20,1.0147755146026611,0.0300852358341217,10,1.0076567236488927,0.027291666067213866
114,114,114,74,50,417,18,20,1.0150223970413208,0.0303197000175714,10,1.0152147277110315,0.022556194773205748
115,115,115,74,50,417,18,20,1.0130101442337036,0.0301980022341012,10,1.0162955604797932,0.028158810592352018
116,116,116,74,50,417,18,20,1.0127989053726196,0.0306318197399377,10,1.0165085805461633,0.031680814354936485
117,117,117,74,50,417,18,20,1.0122042894363403,0.0300212912261486,10,1.0153661088267902,0.03159677372501843
118,118,118,74,50,417,18,20,1.0138527154922483,0.0299637075513601,10,1.0164459218847095,0.031887720338569736
119,119,119,74,50,417,18,20,1.0141472816467283,0.0303258560597896,10,1.0143972381341178,0.031313803245283996
120,120,120,74,50,417,18,20,1.01397442817688,0.0291771180927753,10,1.014453125822089,0.03136310671449928
121,121,121,69,50,416,18,20,1.0138803720474243,0.0307106152176857,10,1.0150680512873724,0.031908281781634566
122,122,122,69,50,416,18,20,1.012984037399292,0.0309347864240407,10,1.0144433965599857,0.031584994241328865
123,123,123,73,50,417,18,20,1.0112425088882446,0.0296936202794313,10,1.0121697919258443,0.030766785171249377
124,124,124,73,50,417,18,20,1.010074019432068,0.0298497583717107,10,1.0106657920186564,0.031126429422932953
125,125,125,73,50,417,18,20,1.007944107055664,0.0288432855159044,10,1.0088777261385378,0.031296119586132064
126,126,126,68,50,416,18,20,1.0116124153137207,0.030070973560214,10,1.0117045377014278,0.03201581547990973
127,127,127,68,50,416,18,20,1.012763500213623,0.0294856987893581,10,1.0117828070589905,0.0311284007519249
128,128,128,68,50,416,18,20,1.0115183591842651,0.0295224077999591,10,1.0112379237838296,0.030146613904804043
129,129,129,68,50,416,18,20,1.0117298364639282,0.0298167765140533,10,1.0106766402646636,0.03037977489112687
130,130,130,68,50,416,18,20,1.0100679397583008,0.0298931784927845,10,1.0089722309627283,0.030871791665983167
131,131,131,68,50,416,18,20,1.0099223852157593,0.0298362970352172,10,1.0084231893852231,0.030505538470088103
132,132,132,71,50,380,18,20,1.0100237131118774,0.0296339467167854,10,1.008169401606555,0.03134638334633793
133,133,133,72,50,381,18,20,1.0091886520385742,0.0284415651112794,10,1.0070359628367953,0.0305197722288422
134,134,134,72,50,381,18,20,1.0104519128799438,0.0290421675890684,10,1.0077680848675916,0.030567796271607266
135,135,135,72,50,381,18,20,1.0112000703811646,0.0298377349972724,10,1.0091631437700226,0.032007808747322605
136,136,136,72,50,381,18,20,1.0103812217712402,0.0289823096245527,10,1.0076153871061047,0.030025580344682324
137,137,137,75,50,382,18,20,1.0101217031478882,0.0289270412176847,10,1.0069504760753987,0.030284009843499732
138,138,138,74,50,382,18,20,1.01077401638031,0.0287387277930974,10,1.0075323049882823,0.029123791045286954
139,139,139,74,50,382,18,20,1.0084624290466309,0.0286885723471641,10,1.0047149264437014,0.030468699133351995
140,140,140,74,50,382,18,20,1.0097832679748535,0.0281961243599653,10,1.0057837559170857,0.029762461296760436
141,141,141,74,50,382,18,20,1.0101672410964966,0.0298622921109199,10,1.0056552552694693,0.030583741857646587
142,142,142,74,50,381,18,20,1.0100702047348022,0.0287581998854875,10,1.0065688106337556,0.03037918340164367
143,143,143,74,50,381,18,20,1.0087741613388062,0.0299032218754291,10,1.0041618135569035,0.029882967202532217
144,144,144,74,50,381,18,20,1.008946657180786,0.0292026307433843,10,1.0042541765099389,0.031176689764674408
145,145,145,75,50,199,18,20,1.014362096786499,0.0289010498672723,10,1.011841690619568,0.031677567419046634
146,146,146,75,50,199,18,20,1.0150583982467651,0.0298320613801479,10,1.010994793873275,0.031671259950642024
147,147,147,76,50,1,18,20,1.010661005973816,0.0279272459447383,10,1.0050695705251433,0.025029440422273622
148,148,148,78,50,117,18,20,1.0093802213668823,0.0288387276232242,10,1.0036679515957745,0.029644920249219796
149,149,149,73,50,3,18,20,1.01140296459198,0.0290631465613842,10,1.0139975812929156,0.03006710371245849
150,150,150,73,50,3,18,20,1.0116764307022097,0.0286109037697315,10,1.013055729824317,0.026844555758212426
151,151,151,72,50,102,18,20,1.0114048719406128,0.0287636835128068,10,1.0058903807036634,0.02709928196011371
152,152,152,72,50,102,18,20,1.0126055479049685,0.0286245848983526,10,1.0139803863038754,0.02471537701050565
153,153,153,75,50,101,18,20,1.0120501518249512,0.0289849415421485,10,1.0144665164938813,0.026175103141216377
154,154,154,75,50,101,18,20,1.011577010154724,0.0293620433658361,10,1.0155549845884668,0.029794085905294077
155,155,155,75,50,100,18,20,1.012239933013916,0.0284191593527793,10,1.0157217488836356,0.030102188528234902
156,156,156,75,50,100,18,20,1.0121504068374634,0.0285531356930732,10,1.0144052410636757,0.029250367943872233
157,157,157,75,50,100,18,20,1.0121266841888428,0.027433430776,10,1.0150115032744729,0.028698943379822605
158,158,158,74,50,100,18,20,1.013229250907898,0.0287341326475143,10,1.0151565904015505,0.03125221837669685
159,159,159,74,50,100,18,20,1.0104097127914429,0.0278638638556003,10,1.0124532406130613,0.030262212438069338
160,160,160,74,50,100,18,20,1.0114941596984863,0.0293181631714105,10,1.0123377488867427,0.031333401230118164
