,frame,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
0,0,34,50,64,18,20,0.999580144882202,0.0291490107774734,10,0.9982672464730028,0.031090887095292195
1,1,52,50,66,18,20,1.0090649127960205,0.0305555406957864,10,1.0085474096617684,0.027272930493697944
2,2,52,50,66,18,20,1.0097893476486206,0.0302057620137929,10,1.0093830069025425,0.031014093935609287
3,3,52,50,66,18,20,1.0089865922927856,0.0304476525634527,10,1.0085258581927647,0.03183570991377133
4,4,52,50,66,18,20,1.0113701820373535,0.0309444870799779,10,1.0095725068800145,0.03183281971765967
5,5,52,50,66,18,20,1.0092288255691528,0.0303004402667284,10,1.00715337799263,0.03102469701540958
6,6,52,50,66,18,20,1.0118918418884275,0.0307554975152015,10,1.0079960657492704,0.031762798566203274
7,7,52,50,66,18,20,1.0120978355407717,0.0309716872870922,10,1.0136385809676476,0.031081055091203035
8,8,52,50,66,18,20,1.0117214918136597,0.0302077773958444,10,1.0116785460779676,0.030294570590544623
9,9,52,50,66,18,20,1.0118192434310913,0.0309154465794563,10,1.011226331476813,0.031118361742733056
10,10,52,50,66,18,20,1.0127363204956057,0.0302364137023687,10,1.011700541938235,0.029894881312535638
11,11,52,50,66,18,20,1.0129683017730713,0.0292483698576688,10,1.0106651444261803,0.029619141593319763
12,12,53,50,66,18,20,1.0141178369522097,0.0307434685528278,10,1.0143330652318199,0.0316382307975636
13,13,53,50,66,18,20,1.0118240118026731,0.029270950704813,10,1.0112202572407067,0.030381480761681807
14,14,53,50,66,18,20,1.0137087106704712,0.0296373032033443,10,1.0098964396374668,0.030139351037925092
15,15,50,50,65,18,20,1.0096030235290527,0.0305684003978967,10,1.0074223922443062,0.031666341613864724
16,16,56,50,66,18,20,1.011815905570984,0.0290198437869548,10,1.0137358511505252,0.029051198888888848
17,17,56,50,66,18,20,1.0118855237960815,0.0291037410497665,10,1.0135777756621727,0.02825705925007723
18,18,56,50,66,18,20,1.0131628513336182,0.0292780920863151,10,1.012581882503522,0.0296148291518625
19,19,56,50,66,18,20,1.0104269981384275,0.0291158817708492,10,1.008566663868545,0.029959421373734016
20,20,56,50,66,18,20,1.0112038850784302,0.0298158600926399,10,1.0097228674389622,0.030373179782559066
21,21,56,50,66,18,20,1.0130648612976074,0.029616555199027,10,1.0114754024612604,0.03295726461970001
22,22,56,50,66,18,20,1.012378454208374,0.0299509894102811,10,1.0113138246146605,0.030392110668612794
23,23,56,50,66,18,20,1.0120412111282349,0.0285445917397737,10,1.0101116753348542,0.029038025867639483
24,24,56,50,66,18,20,1.0126733779907229,0.029419558122754,10,1.0101604122662244,0.029580894786558953
25,25,56,50,66,18,20,1.0129084587097168,0.0289265438914299,10,1.0071255161984944,0.028487811873049006
26,26,56,50,66,18,20,1.013163924217224,0.0288083031773567,10,1.0149732515309207,0.02703237844381124
27,27,56,50,66,18,20,1.0131386518478394,0.028230233117938,10,1.0138956096368412,0.02701652007447788
28,28,56,50,66,18,20,1.013996958732605,0.0284126847982406,10,1.012946978495442,0.027771819027870563
29,29,56,50,66,18,20,1.0152277946472168,0.0287737511098384,10,1.0123478970453728,0.026950036895836776
30,30,56,50,66,18,20,1.0156736373901367,0.0284342728555202,10,1.0155997005158894,0.03265584059537712
31,31,56,50,66,18,20,1.0151946544647217,0.0284130722284317,10,1.0151280740396116,0.030508163878701335
32,32,56,50,66,18,20,1.01711106300354,0.0295752454549074,10,1.0164269884853634,0.030595591718590484
33,33,56,50,66,18,20,1.0177408456802368,0.0289004947990179,10,1.016345852414364,0.02986727513667935
34,34,56,50,66,18,20,1.0156300067901611,0.0281789302825927,10,1.013142560658889,0.029400030640189607
35,35,51,50,67,18,20,1.016289234161377,0.0281446725130081,10,1.0134265303244046,0.028948804478047152
36,36,51,50,67,18,20,1.015217423439026,0.0278179999440908,10,1.0096816037184033,0.029084336126953183
37,37,51,50,67,18,20,1.0087106227874756,0.030547946691513,10,1.0081536569035907,0.031725239521556835
38,38,51,50,67,18,20,1.007575511932373,0.0308359209448099,10,1.0072454027094613,0.03035951281833674
39,39,54,50,68,18,20,1.0067648887634275,0.030620452016592,10,1.0059420498431186,0.031728037388104216
40,40,55,50,68,18,20,1.005864500999451,0.0305183045566082,10,1.0040472681621375,0.029721559226107076
41,41,55,50,68,18,20,1.0074461698532104,0.0298183448612689,10,1.004994805818862,0.030513322184594655
42,42,55,50,68,18,20,1.0071409940719604,0.0301085542887449,10,1.0029713834635121,0.029408511282746647
43,43,55,50,68,18,20,1.0079243183135986,0.0301902554929256,10,1.0068945444815403,0.031154808771432715
44,44,55,50,68,18,20,1.0075377225875854,0.0297419391572475,10,1.005206134229538,0.030167659173644956
