,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface
47,69,50,191,20,20,0.060881536453962326,0.021867169067263603,10
48,71,50,192,20,20,0.06113465875387192,0.030054055154323578,10
49,71,50,192,20,20,0.059720661491155624,0.02515665628015995,10
50,72,50,174,20,20,0.05926874279975891,0.024889836087822914,10
51,73,50,176,20,20,0.05945609509944916,0.01969100348651409,10
52,73,50,180,20,20,0.059875503182411194,0.02245756797492504,10
53,74,50,180,20,20,0.06033649668097496,0.025134025141596794,10
54,75,50,179,20,20,0.06160438433289528,0.027734512463212013,10
55,76,50,178,20,20,0.05816030874848366,0.019105909392237663,10
56,77,50,178,20,20,0.0591740757226944,0.02417585626244545,10
57,79,50,178,20,20,0.05713363736867905,0.020995905622839928,10
58,79,50,182,20,20,0.062074072659015656,0.027048207819461823,10
59,79,50,186,20,20,0.059876859188079834,0.03020479902625084,10
60,80,50,189,20,20,0.06047520413994789,0.025135371834039688,10
61,81,50,194,20,20,0.05948951467871666,0.020867696031928062,10
62,82,50,195,20,20,0.06149499863386154,0.02301410771906376,10
63,84,50,197,20,20,0.06099680811166763,0.018496714532375336,10
64,101,50,202,20,20,0.062316782772541046,0.02592328190803528,10
65,102,50,203,20,20,0.06250724196434021,0.029875636100769043,10
66,103,50,203,20,20,0.06109119951725006,0.029090071097016335,10
67,104,50,203,20,20,0.06306899338960648,0.02638392150402069,10
68,105,50,203,20,20,0.06160030514001846,0.022407593205571175,10
69,107,50,203,20,20,0.058915864676237106,0.020256370306015015,10
70,106,50,203,20,20,0.06059557944536209,0.017990032210946083,10
71,109,50,203,20,20,0.06013452634215355,0.021827230229973793,10
72,109,50,201,20,20,0.05981921777129173,0.019298410043120384,10
73,111,50,204,20,20,0.061531830579042435,0.015173286199569702,10
74,112,50,206,20,20,0.06088913604617119,0.014598576352000237,10
75,113,50,206,20,20,0.06098112091422081,0.015191852115094662,10
76,115,50,207,20,20,0.06059527024626732,0.0174415186047554,10
77,115,50,208,20,20,0.06167026609182358,0.021279040724039078,10
78,118,50,209,20,20,0.06169257313013077,0.01633899286389351,10
79,120,50,210,20,20,0.06094061955809593,0.019641930237412453,10
80,120,50,211,20,20,0.060798514634370804,0.019531400874257088,10
81,121,50,212,20,20,0.06201653555035591,0.01959981396794319,10
82,122,50,217,20,20,0.0638708770275116,0.015504867769777775,10
83,125,50,224,20,20,0.062148869037628174,0.02314288727939129,10
84,129,50,230,20,20,0.06130329519510269,0.024050820618867874,10
85,130,50,230,20,20,0.060244567692279816,0.01658375933766365,10
86,131,50,230,20,20,0.06291819363832474,0.018097853288054466,10
87,135,50,329,20,20,0.0677330493927002,0.02570228837430477,10
88,135,50,329,20,20,0.06616007536649704,0.01995791681110859,10
89,134,50,359,20,20,0.06596828252077103,0.0252600759267807,10
90,134,50,363,20,20,0.07109005004167557,0.026351574808359146,10
91,133,50,479,20,20,0.06801273673772812,0.024126039817929268,10
92,144,50,181,20,20,0.06250768154859543,0.017215557396411896,10
93,146,50,181,20,20,0.06265806406736374,0.019485168159008026,10
