,Unnamed: 0,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
78,78,122,0,233,15,20,1.00767231,0.017414561,10,1.007294066,0.017664619
79,79,123,0,233,15,20,1.00739491,0.018037336,10,1.006746334,0.018201691
80,80,124,0,233,15,20,1.009038687,0.021108616,10,1.009394486,0.020801847
81,81,128,0,233,15,20,1.00892818,0.020460824,10,1.008785467,0.020394556
82,82,130,0,234,15,20,1.012521267,0.015783705,10,1.012234326,0.016853388
83,83,131,0,234,15,20,1.009082794,0.021097567,10,1.007723679,0.021935465
84,84,133,0,235,15,20,1.009800911,0.024154756,10,1.00961649,0.024402304
85,85,134,0,235,15,20,1.011327624,0.017125444,10,1.0101379,0.018309416
86,86,131,0,268,15,20,1.013724804,0.020452138,10,1.01285734,0.019862881
87,87,133,0,269,15,20,1.014419317,0.025599293,10,1.012766469,0.024327756
88,88,133,0,394,15,20,1.014073372,0.022006338,10,1.012600975,0.022949733
89,89,133,0,394,15,20,1.01510191,0.021003043,10,1.013732624,0.021445376
90,90,133,0,501,15,20,1.012234449,0.01920875,10,1.011649572,0.019220453
91,91,135,0,399,15,20,1.018331885,0.020943379,10,1.017684818,0.022427222
92,92,145,0,414,15,20,1.007540226,0.023612546,10,1.006820023,0.02391312
93,93,147,0,415,15,20,1.01202178,0.025582151,10,1.010386458,0.025814367
