,frame,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
0,0,47,50,148,15,20,1.0205078125,0.0302276611328125,10,1.02073894705436,0.03236658073865188
1,1,47,50,148,15,20,1.0263671875,0.0169219970703125,10,1.0262560027116117,0.01946000224217294
2,2,48,50,147,15,20,1.037109375,0.0161895751953125,10,1.03674002521908,0.019518370324529504
3,3,48,50,147,15,20,1.041015625,0.0178070068359375,10,1.0406489875678002,0.020860660637040666
4,4,48,50,147,15,20,1.0400390625,0.0228118896484375,10,1.0398111081356618,0.024097543124652038
5,5,51,50,147,15,20,1.0419921875,0.0193023681640625,10,1.0413268245318272,0.02187814638652215
6,6,51,50,147,15,20,1.0400390625,0.0155715942382812,10,1.0399685642841219,0.018369924545451787
7,7,52,50,148,15,20,1.0380859375,0.016845703125,10,1.0380040045753824,0.019571269368606814
8,8,53,50,148,15,20,1.0400390625,0.0183563232421875,10,1.0399303206753256,0.0215190782343393
9,9,57,50,148,15,20,1.0361328125,0.0220794677734375,10,1.0366437061585017,0.023503652126105178
10,10,57,50,149,15,20,1.03515625,0.0225677490234375,10,1.0343849782098016,0.02442807237230342
11,11,58,50,149,15,20,1.0361328125,0.01953125,10,1.0357724284082679,0.022442160539530166
12,12,58,50,149,15,20,1.033203125,0.016632080078125,10,1.03253506012584,0.019840152544704424
13,13,60,50,149,15,20,1.0322265625,0.0171661376953125,10,1.0327171143350642,0.0197914403960344
14,14,60,50,149,15,20,1.0341796875,0.0168304443359375,10,1.0334350345363021,0.019675410984520466
15,15,60,50,149,15,20,1.0361328125,0.017425537109375,10,1.0354258981873865,0.01993999337336046
16,16,62,50,150,15,20,1.0361328125,0.0179901123046875,10,1.0359780182985492,0.020702314473638968
17,17,64,50,150,15,20,1.03125,0.0168304443359375,10,1.0311645231915114,0.019701841088907306
18,18,62,50,150,15,20,1.03515625,0.0155792236328125,10,1.0348638036845086,0.018285141283419577
19,19,65,50,150,15,20,1.0341796875,0.0163421630859375,10,1.034519453673531,0.019518503645767925
20,20,65,50,151,15,20,1.029296875,0.0145797729492187,10,1.029310123208382,0.017728938607429873
21,21,69,50,152,15,20,1.0322265625,0.0166015625,10,1.0322733590057718,0.019359576344738325
22,22,71,50,152,15,20,1.033203125,0.0152969360351562,10,1.0331667567218452,0.018293420155695923
23,23,71,50,152,15,20,1.0322265625,0.0156707763671875,10,1.0312668633957724,0.018982078004002943
24,24,71,50,152,15,20,1.0322265625,0.015380859375,10,1.0322170801364419,0.01845701431139391
25,25,74,50,152,15,20,1.0322265625,0.014892578125,10,1.032110264081549,0.018148029914581445
26,26,75,50,152,15,20,1.0283203125,0.01953125,10,1.0280703900582826,0.021868488934530098
27,27,75,50,152,15,20,1.033203125,0.0163726806640625,10,1.0332509133675352,0.019239460213722286
28,28,83,50,151,15,20,1.03125,0.020660400390625,10,1.0307969071338694,0.023211176579962255
29,29,85,50,151,15,20,1.0322265625,0.022125244140625,10,1.0319374668298908,0.02399830124760219
30,30,88,50,127,15,20,1.0302734375,0.0220947265625,10,1.0305941219459918,0.02350267794549714
31,31,91,50,125,15,20,1.029296875,0.0222625732421875,10,1.029193756204842,0.023799635035725422
32,32,95,50,126,15,20,1.029296875,0.015625,10,1.028638417206426,0.018839666603131567
33,33,99,50,126,15,20,1.03125,0.01519775390625,10,1.0316641181506976,0.018250013602950595
34,34,112,50,158,15,20,1.0322265625,0.017486572265625,10,1.0309662718681072,0.021081200510012638
35,35,119,50,158,15,20,1.0302734375,0.0192718505859375,10,1.0286621553629542,0.02269316265958536
36,36,128,50,158,15,20,1.0283203125,0.0196685791015625,10,1.028593011288682,0.021835612822213777
37,37,139,50,157,15,20,1.03125,0.0157623291015625,10,1.0308705647401502,0.019010559056917283
38,38,149,50,169,15,20,1.0283203125,0.01898193359375,10,1.0277946989375,0.021100317172883215
39,39,156,50,169,15,20,1.0263671875,0.021759033203125,10,1.0259004966275749,0.023343823124184336
40,40,170,50,205,15,20,1.025390625,0.0197906494140625,10,1.024358665090961,0.022024966547663043
41,41,188,50,205,15,20,1.0244140625,0.0144424438476562,10,1.0240113487228104,0.016983834576292225
42,42,204,50,197,15,20,1.0244140625,0.0166778564453125,10,1.024486762216362,0.018466824222731944
43,43,164,50,133,15,20,1.0322265625,0.0171966552734375,10,1.032203742287759,0.020262018235957375
44,44,175,50,136,15,20,1.03125,0.020416259765625,10,1.0303403568019833,0.022879777927485644
45,45,189,50,137,15,20,1.0302734375,0.0213470458984375,10,1.029095836552553,0.0233273336961973
46,46,57,50,44,15,20,1.0498046875,0.026397705078125,10,1.0486572335671256,0.02775288817325661
47,47,58,50,44,15,20,1.0517578125,0.023223876953125,10,1.0508556322772296,0.024751597569161645
