frame,time (sec)
0,150
1,180
2,210
3,240
4,270
5,300
6,330
7,360
8,390
9,420
10,450
11,480
12,510
13,540
14,570
15,600
16,630
17,660
18,690
19,720
20,760
21,800
22,840
23,880
24,920
25,960
26,1000
27,1040
28,1080
29,1120
30,1160
31,1200
32,1240
33,1280
34,1320
35,1360
36,1400
37,1440
38,1480
39,1520
40,1550
41,1580
42,1610
43,1640
44,1670
45,1700
46,1730
47,1760
48,1790
49,1820
50,1850
51,1880
52,1910
53,1940
54,1970
55,2000
56,2030
57,2060
58,2090
59,2120
60,2150
61,2180
